Name,URL,Description,Language,Stars,Archived
ml-explore/mlx,https://github.com/ml-explore/mlx,MLX: An array framework for Apple silicon,C++,21954,False
menloresearch/jan,https://github.com/menloresearch/jan,Jan is an open source alternative to ChatGPT that runs 100% offline on your computer,TypeScript,37179,False
preetsuthar17/HextaUI,https://github.com/preetsuthar17/HextaUI,"modern, responsive, and customizable ui components.",MDX,290,False
filipecalegario/awesome-vibe-coding,https://github.com/filipecalegario/awesome-vibe-coding,"A curated list of vibe coding references, collaborating with AI to write code.",N/A,888,False
WeblateOrg/weblate,https://github.com/WeblateOrg/weblate,Web based localization tool with tight version control integration.,Python,5307,False
nvim-flutter/flutter-tools.nvim,https://github.com/nvim-flutter/flutter-tools.nvim,Tools to help create flutter apps in neovim using the native lsp,Lua,1244,False
FoxSensei001/LoveIwara,https://github.com/FoxSensei001/LoveIwara,"Love Iwara (i-iwara or 2i). An unofficial iwara flutter app - Supporting multiple platforms and devices including mobile phones, tablets and computers. Compatible with Android, Windows and other systems. 第三方的Iwara应用 - 支持多个平台和设备，包括手机、平板和计算机。兼容 安卓、IOS、Windows、MacOS等系统。",Dart,431,False
RikkaApps/Shizuku,https://github.com/RikkaApps/Shizuku,Using system APIs directly with adb/root privileges from normal apps through a Java process started with app_process.,Kotlin,16356,False
AAswordman/Operit,https://github.com/AAswordman/Operit,An android AI agent can automatically operate your mobile phone,Kotlin,1493,False
nacos-group/r-nacos,https://github.com/nacos-group/r-nacos,Nacos server re-implemented in Rust.,Rust,1409,False
tensorzero/tensorzero,https://github.com/tensorzero/tensorzero,"TensorZero is an open-source stack for industrial-grade LLM applications. It unifies an LLM gateway, observability, optimization, evaluation, and experimentation.",Rust,9618,False
datawhalechina/self-llm,https://github.com/datawhalechina/self-llm,《开源大模型食用指南》针对中国宝宝量身打造的基于Linux环境快速微调（全参数/Lora）、部署国内外开源大模型（LLM）/多模态大模型（MLLM）教程,Jupyter Notebook,23297,False
jdepoix/youtube-transcript-api,https://github.com/jdepoix/youtube-transcript-api,"This is a python API which allows you to get the transcript/subtitles for a given YouTube video. It also works for automatically generated subtitles and it does not require an API key nor a headless browser, like other selenium based solutions do!",Python,5929,False
ueberdosis/tiptap,https://github.com/ueberdosis/tiptap,The headless rich text editor framework for web artisans.,TypeScript,32044,False
mdx-js/mdx,https://github.com/mdx-js/mdx,Markdown for the component era,JavaScript,18741,False
modular/modular,https://github.com/modular/modular,The Modular Platform (includes MAX & Mojo),Mojo,24648,False
